campaign_id,company_size,industry,marketing_channel,ad_spend,duration,target_audience_area,target_audience_age,region,device,operating_system,browser,engagement_metric,conversion_rate,success,budget_allocation,audience_reach,device_conversion_rate,os_conversion_rate,browser_conversion_rate
26,51-100,services,social media,49741,71,suburban,18-34,Asia-Pacific,tablet,Android,Chrome,313983,0.171113722,Yes,700.5774648,313983,0.7,0.8,0.9
27,<=50,finance,email,6324,47,suburban,18-34,Africa,mobile,Windows,Safari,456568,0.825271366,Yes,134.5531915,456568,0.8,0.7,0.7
28,<=50,finance,search engine,32166,87,urban,18-34,Africa,mobile,Windows,Chrome,49413,0.347007049,Yes,369.7241379,41177.5,0.8,0.7,0.9
29,<=50,technology,influencer,48374,18,urban,18-34,South America,mobile,iOS,Chrome,31928,0.936281687,Yes,2687.444444,26606.66667,0.8,0.9,0.9
30,<=50,technology,social media,29495,8,urban,35-54,Europe,mobile,Android,Firefox,227474,0.299077897,Yes,3686.875,284342.5,0.8,0.8,0.8
31,51-100,e-commerce,email,42932,79,urban,18-34,North America,tablet,Android,Safari,299902,0.089400791,Yes,543.443038,299902,0.7,0.8,0.7
32,<=50,finance,social media,31092,82,urban,55+,Europe,tablet,Windows,Safari,397170,0.852920479,Yes,379.1707317,661950,0.7,0.7,0.7
33,<=50,finance,search engine,6339,66,rural,55+,Asia-Pacific,tablet,Windows,Safari,262230,0.116646527,Yes,96.04545455,437050,0.7,0.7,0.7
34,100+,finance,search engine,17286,31,rural,55+,North America,desktop,iOS,Safari,115304,0.541435083,No,557.6129032,192173.3333,0.9,0.9,0.7
35,100+,technology,email,34235,67,rural,35-54,Europe,desktop,iOS,Chrome,241059,0.375947896,Yes,510.9701493,301323.75,0.9,0.9,0.9
36,100+,services,content marketing,16595,28,urban,18-34,Africa,tablet,Android,Safari,104820,0.756854223,Yes,592.6785714,104820,0.7,0.8,0.7
37,<=50,finance,social media,30552,62,rural,18-34,Africa,desktop,Android,Safari,466923,0.748899543,Yes,492.7741935,667032.8571,0.9,0.8,0.7
38,<=50,services,social media,18629,27,suburban,35-54,South America,tablet,iOS,Firefox,55452,0.776137504,Yes,689.962963,69315,0.7,0.9,0.8
39,51-100,retail,search engine,44234,61,rural,18-34,Africa,mobile,iOS,Safari,84380,0.063282131,Yes,725.147541,120542.8571,0.8,0.9,0.7
40,<=50,e-commerce,social media,34925,46,suburban,18-34,Africa,tablet,Windows,Firefox,227987,0.858375341,Yes,759.2391304,253318.8889,0.7,0.7,0.8
41,<=50,finance,email,43231,57,suburban,18-34,Asia-Pacific,tablet,Windows,Safari,258898,0.466329759,Yes,758.4385965,287664.4444,0.7,0.7,0.7
42,<=50,e-commerce,influencer,43258,28,urban,18-34,North America,desktop,iOS,Chrome,80315,0.219184191,Yes,1544.928571,66929.16667,0.9,0.9,0.9
43,<=50,services,search engine,17843,34,rural,18-34,Europe,tablet,iOS,Safari,422883,0.298895814,Yes,524.7941176,604118.5714,0.7,0.9,0.7
44,100+,retail,influencer,37035,10,suburban,18-34,Europe,mobile,iOS,Firefox,326133,0.902742313,Yes,3703.5,326133,0.8,0.9,0.8
45,<=50,finance,social media,28988,32,rural,18-34,Asia-Pacific,tablet,Windows,Safari,484949,0.00599314,Yes,905.875,692784.2857,0.7,0.7,0.7
46,51-100,technology,content marketing,37683,66,rural,18-34,North America,tablet,Android,Chrome,6226,0.801722108,Yes,570.9545455,8894.285714,0.7,0.8,0.9
47,<=50,services,email,37986,29,suburban,55+,Africa,tablet,iOS,Firefox,76173,0.923929581,Yes,1309.862069,126955,0.7,0.9,0.8
48,<=50,e-commerce,social media,38301,47,suburban,18-34,Asia-Pacific,tablet,Windows,Chrome,105512,0.250054696,Yes,814.9148936,105512,0.7,0.7,0.9
49,<=50,finance,email,19977,64,rural,18-34,Africa,desktop,Android,Safari,122777,0.82200252,Yes,312.140625,175395.7143,0.9,0.8,0.7
50,<=50,finance,social media,12951,14,rural,18-34,Europe,desktop,iOS,Safari,372467,0.161089938,Yes,925.0714286,532095.7143,0.9,0.9,0.7
51,100+,finance,social media,31071,57,rural,18-34,Asia-Pacific,desktop,Android,Firefox,214200,0.016225216,Yes,545.1052632,306000,0.9,0.8,0.8
52,51-100,manufacturing,social media,14565,67,urban,18-34,Asia-Pacific,tablet,Windows,Chrome,458543,0.604574331,Yes,217.3880597,382119.1667,0.7,0.7,0.9
53,100+,finance,search engine,33715,7,suburban,55+,Asia-Pacific,mobile,Windows,Chrome,146420,0.646202776,Yes,4816.428571,244033.3333,0.8,0.7,0.9
54,100+,manufacturing,influencer,42109,36,suburban,35-54,Europe,desktop,iOS,Firefox,297999,0.150142307,Yes,1169.694444,372498.75,0.9,0.9,0.8
55,<=50,retail,content marketing,42850,23,suburban,55+,Europe,mobile,Android,Safari,159108,0.512467544,Yes,1863.043478,265180,0.8,0.8,0.7
56,100+,manufacturing,influencer,16334,29,rural,18-34,South America,desktop,Android,Safari,431086,0.385491656,Yes,563.2413793,615837.1429,0.9,0.8,0.7
57,<=50,manufacturing,influencer,31300,30,rural,18-34,Europe,mobile,Android,Chrome,94475,0.076258139,Yes,1043.333333,134964.2857,0.8,0.8,0.9
58,<=50,finance,email,24369,75,suburban,18-34,Europe,tablet,Android,Firefox,67679,0.507742283,Yes,324.92,75198.88889,0.7,0.8,0.8
59,<=50,retail,search engine,43362,58,urban,35-54,Africa,tablet,Windows,Chrome,14600,0.585136582,Yes,747.6206897,18250,0.7,0.7,0.9
60,<=50,services,search engine,29401,77,rural,18-34,Europe,desktop,Android,Safari,193099,0.217172058,No,381.8311688,275855.7143,0.9,0.8,0.7
61,<=50,services,social media,49614,64,urban,55+,North America,mobile,iOS,Safari,22190,0.739779641,Yes,775.21875,36983.33333,0.8,0.9,0.7
62,<=50,e-commerce,influencer,25639,28,urban,35-54,Africa,tablet,Windows,Chrome,164479,0.072601445,Yes,915.6785714,205598.75,0.7,0.7,0.9
63,100+,retail,content marketing,22388,65,suburban,18-34,South America,tablet,iOS,Safari,113870,0.550995183,Yes,344.4307692,126522.2222,0.7,0.9,0.7
64,<=50,services,email,23506,50,suburban,18-34,North America,tablet,Android,Safari,1793,0.303390215,Yes,470.12,1992.222222,0.7,0.8,0.7
65,<=50,e-commerce,search engine,17766,43,urban,18-34,South America,desktop,Android,Firefox,155350,0.436073075,Yes,413.1627907,155350,0.9,0.8,0.8
66,<=50,technology,social media,11696,40,rural,18-34,Asia-Pacific,mobile,Windows,Firefox,269326,0.893473535,Yes,292.4,384751.4286,0.8,0.7,0.8
67,<=50,technology,content marketing,8981,63,suburban,18-34,Asia-Pacific,desktop,Android,Firefox,227256,0.669954251,Yes,142.5555556,252506.6667,0.9,0.8,0.8
68,100+,finance,influencer,21855,63,suburban,18-34,Asia-Pacific,mobile,iOS,Safari,277315,0.148878591,Yes,346.9047619,308127.7778,0.8,0.9,0.7
69,<=50,retail,content marketing,24789,46,suburban,18-34,Europe,desktop,Windows,Firefox,404670,0.886306022,Yes,538.8913043,449633.3333,0.9,0.7,0.8
70,100+,finance,search engine,5308,26,rural,18-34,Europe,tablet,Android,Chrome,400736,0.372833489,Yes,204.1538462,572480,0.7,0.8,0.9
71,51-100,finance,email,45463,23,urban,18-34,Africa,mobile,iOS,Safari,242629,0.341284526,Yes,1976.652174,202190.8333,0.8,0.9,0.7
72,<=50,finance,influencer,32510,58,suburban,18-34,North America,desktop,Android,Chrome,29547,0.501536422,Yes,560.5172414,32830,0.9,0.8,0.9
73,<=50,technology,email,34372,10,urban,18-34,North America,tablet,Android,Safari,123534,0.205293993,Yes,3437.2,123534,0.7,0.8,0.7
74,100+,services,content marketing,12707,69,urban,35-54,Asia-Pacific,tablet,Android,Chrome,445316,0.914235985,Yes,184.1594203,556645,0.7,0.8,0.9
75,51-100,finance,content marketing,20522,56,urban,18-34,Asia-Pacific,mobile,Android,Firefox,203848,0.467889029,Yes,366.4642857,169873.3333,0.8,0.8,0.8
76,51-100,services,social media,40815,88,urban,35-54,Europe,desktop,iOS,Safari,171674,0.3938227,Yes,463.8068182,214592.5,0.9,0.9,0.7
77,51-100,services,influencer,31497,56,urban,35-54,South America,tablet,Windows,Safari,205725,0.170967753,Yes,562.4464286,257156.25,0.7,0.7,0.7
78,<=50,manufacturing,content marketing,35524,22,urban,18-34,North America,mobile,iOS,Chrome,480888,0.802681453,Yes,1614.727273,480888,0.8,0.9,0.9
79,<=50,e-commerce,search engine,48959,78,urban,18-34,North America,mobile,iOS,Safari,223762,0.952835563,Yes,627.6794872,186468.3333,0.8,0.9,0.7
80,<=50,finance,search engine,39785,67,rural,18-34,South America,tablet,Windows,Chrome,477590,0.869592614,No,593.8059701,682271.4286,0.7,0.7,0.9
81,100+,retail,email,18366,50,urban,55+,North America,desktop,Windows,Firefox,158208,0.161496963,Yes,367.32,263680,0.9,0.7,0.8
82,51-100,retail,search engine,42649,24,suburban,18-34,North America,mobile,Android,Chrome,116851,0.751615483,Yes,1777.041667,129834.4444,0.8,0.8,0.9
83,<=50,technology,content marketing,39246,56,urban,35-54,Europe,tablet,Android,Chrome,353703,0.204163846,No,700.8214286,442128.75,0.7,0.8,0.9
84,<=50,manufacturing,search engine,31928,86,urban,35-54,North America,tablet,iOS,Safari,107599,0.038834393,Yes,371.255814,134498.75,0.7,0.9,0.7
85,<=50,e-commerce,influencer,25581,36,urban,18-34,Asia-Pacific,tablet,Android,Firefox,488892,0.484471717,Yes,710.5833333,488892,0.7,0.8,0.8
86,<=50,technology,email,29105,55,rural,18-34,Asia-Pacific,desktop,Windows,Firefox,13992,0.670380614,Yes,529.1818182,19988.57143,0.9,0.7,0.8
87,51-100,healthcare,influencer,42638,27,urban,18-34,Africa,desktop,Windows,Firefox,176374,0.124287563,Yes,1579.185185,176374,0.9,0.7,0.8
88,51-100,manufacturing,content marketing,24843,28,urban,18-34,Europe,mobile,Android,Firefox,200398,0.605518957,Yes,887.25,200398,0.8,0.8,0.8
89,100+,finance,content marketing,49714,53,urban,18-34,Europe,mobile,iOS,Safari,57257,0.8436455,Yes,938,47714.16667,0.8,0.9,0.7
90,<=50,services,search engine,47191,31,rural,18-34,Asia-Pacific,tablet,Android,Safari,49793,0.209010447,Yes,1522.290323,71132.85714,0.7,0.8,0.7
91,<=50,services,social media,10434,62,suburban,18-34,Europe,mobile,Windows,Safari,263295,0.42778938,Yes,168.2903226,292550,0.8,0.7,0.7
92,51-100,services,social media,38339,70,urban,18-34,Europe,tablet,Windows,Firefox,23408,0.498800727,Yes,547.7,19506.66667,0.7,0.7,0.8
93,51-100,manufacturing,content marketing,24973,34,urban,18-34,Africa,mobile,iOS,Chrome,59218,0.831211751,Yes,734.5,59218,0.8,0.9,0.9
94,<=50,finance,content marketing,46107,39,urban,18-34,South America,desktop,Windows,Firefox,180390,0.771376614,Yes,1182.230769,180390,0.9,0.7,0.8
95,51-100,finance,email,16635,72,rural,18-34,North America,desktop,iOS,Firefox,143011,0.769327639,Yes,231.0416667,204301.4286,0.9,0.9,0.8
96,<=50,manufacturing,content marketing,5596,10,rural,18-34,Africa,tablet,iOS,Firefox,438941,0.67903834,Yes,559.6,627058.5714,0.7,0.9,0.8
97,<=50,retail,content marketing,26457,86,urban,35-54,South America,mobile,Android,Chrome,255046,0.617789147,Yes,307.6395349,318807.5,0.8,0.8,0.9
98,<=50,healthcare,email,37415,18,urban,18-34,North America,mobile,Android,Chrome,299616,0.508887524,Yes,2078.611111,249680,0.8,0.8,0.9
99,<=50,services,influencer,33321,23,urban,18-34,Asia-Pacific,mobile,iOS,Safari,101287,0.369618649,No,1448.73913,84405.83333,0.8,0.9,0.7
100,<=50,services,influencer,19834,42,rural,18-34,South America,tablet,Android,Firefox,122733,0.513227613,Yes,472.2380952,175332.8571,0.7,0.8,0.8
101,<=50,finance,email,42018,22,suburban,18-34,North America,mobile,Windows,Firefox,169494,0.85371975,No,1909.909091,188326.6667,0.8,0.7,0.8
102,51-100,technology,email,25709,29,urban,18-34,Africa,desktop,iOS,Firefox,478633,0.570588536,Yes,886.5172414,398860.8333,0.9,0.9,0.8
103,<=50,finance,influencer,8371,78,rural,18-34,North America,mobile,iOS,Firefox,434020,0.985605858,Yes,107.3205128,620028.5714,0.8,0.9,0.8
104,<=50,services,influencer,5157,15,suburban,18-34,Europe,desktop,Android,Safari,254052,0.142533186,Yes,343.8,282280,0.9,0.8,0.7
105,100+,healthcare,influencer,21032,84,urban,55+,North America,mobile,iOS,Chrome,221162,0.441154806,Yes,250.3809524,368603.3333,0.8,0.9,0.9
106,<=50,services,influencer,8318,61,rural,18-34,Asia-Pacific,tablet,iOS,Safari,251571,0.200280486,Yes,136.3606557,359387.1429,0.7,0.9,0.7
107,<=50,services,search engine,18462,79,suburban,18-34,Africa,tablet,iOS,Safari,304443,0.365099908,Yes,233.6962025,338270,0.7,0.9,0.7
108,51-100,retail,email,44989,70,urban,18-34,South America,mobile,Android,Safari,466915,0.789764374,Yes,642.7,466915,0.8,0.8,0.7
109,<=50,services,social media,13957,53,urban,55+,North America,mobile,iOS,Chrome,88679,0.824774458,Yes,263.3396226,147798.3333,0.8,0.9,0.9
110,<=50,services,search engine,16843,73,urban,35-54,Africa,desktop,iOS,Safari,306547,0.031719117,Yes,230.7260274,383183.75,0.9,0.9,0.7
111,<=50,services,social media,7612,16,urban,35-54,Asia-Pacific,tablet,iOS,Firefox,171818,0.95336958,Yes,475.75,214772.5,0.7,0.9,0.8
112,<=50,e-commerce,social media,25946,10,urban,35-54,South America,mobile,Android,Safari,430549,0.871871981,Yes,2594.6,538186.25,0.8,0.8,0.7
113,100+,healthcare,content marketing,17020,36,urban,18-34,North America,tablet,iOS,Firefox,42620,0.904969758,Yes,472.7777778,42620,0.7,0.9,0.8
114,100+,manufacturing,email,17773,17,rural,18-34,Asia-Pacific,tablet,iOS,Safari,81906,0.376779392,Yes,1045.470588,117008.5714,0.7,0.9,0.7
115,51-100,e-commerce,search engine,35247,57,urban,35-54,Europe,mobile,Android,Safari,319980,0.496959859,Yes,618.3684211,399975,0.8,0.8,0.7
116,100+,services,email,5443,25,suburban,18-34,Africa,mobile,iOS,Firefox,5998,0.168503367,Yes,217.72,6664.444444,0.8,0.9,0.8
117,100+,e-commerce,influencer,43741,19,rural,18-34,Africa,mobile,iOS,Firefox,246058,0.396832407,Yes,2302.157895,351511.4286,0.8,0.9,0.8
118,<=50,technology,email,22288,63,urban,18-34,North America,mobile,iOS,Firefox,54424,0.126146148,Yes,353.7777778,54424,0.8,0.9,0.8
119,100+,e-commerce,social media,7910,9,urban,18-34,Asia-Pacific,desktop,iOS,Firefox,135818,0.863285853,Yes,878.8888889,113181.6667,0.9,0.9,0.8
120,<=50,finance,influencer,49169,84,urban,18-34,South America,mobile,iOS,Firefox,282682,0.58112978,Yes,585.3452381,282682,0.8,0.9,0.8
121,100+,e-commerce,email,39569,80,urban,18-34,South America,desktop,Windows,Chrome,426726,0.135981792,Yes,494.6125,426726,0.9,0.7,0.9
122,100+,services,email,22309,44,urban,18-34,South America,mobile,iOS,Chrome,252714,0.879065577,Yes,507.0227273,210595,0.8,0.9,0.9
123,<=50,finance,social media,16913,33,suburban,18-34,South America,tablet,Windows,Chrome,390758,0.08036841,Yes,512.5151515,434175.5556,0.7,0.7,0.9
124,<=50,healthcare,influencer,19265,86,urban,55+,North America,mobile,Windows,Safari,15343,0.926947317,Yes,224.0116279,25571.66667,0.8,0.7,0.7
125,<=50,e-commerce,social media,33963,16,urban,18-34,North America,desktop,Windows,Chrome,221798,0.105749308,No,2122.6875,184831.6667,0.9,0.7,0.9
126,<=50,finance,email,34905,59,urban,18-34,Africa,mobile,Windows,Firefox,486826,0.717976196,Yes,591.6101695,486826,0.8,0.7,0.8
127,100+,manufacturing,search engine,29235,33,urban,35-54,Asia-Pacific,mobile,Windows,Chrome,31866,0.645306919,Yes,885.9090909,39832.5,0.8,0.7,0.9
128,100+,finance,search engine,14426,13,urban,18-34,Europe,tablet,Android,Chrome,130057,0.782701461,Yes,1109.692308,108380.8333,0.7,0.8,0.9
129,<=50,technology,content marketing,7922,88,urban,18-34,North America,tablet,Android,Safari,452146,0.564770004,Yes,90.02272727,376788.3333,0.7,0.8,0.7
130,<=50,technology,search engine,45323,19,urban,55+,South America,desktop,Android,Firefox,167226,0.349921536,Yes,2385.421053,278710,0.9,0.8,0.8
131,<=50,finance,influencer,35091,78,urban,18-34,Europe,mobile,Windows,Safari,85981,0.274400896,Yes,449.8846154,85981,0.8,0.7,0.7
132,<=50,services,content marketing,32771,66,urban,35-54,Africa,mobile,iOS,Chrome,498829,0.945470612,Yes,496.530303,623536.25,0.8,0.9,0.9
133,<=50,technology,influencer,14776,20,urban,35-54,South America,tablet,iOS,Chrome,258280,0.441270238,Yes,738.8,322850,0.7,0.9,0.9
134,<=50,manufacturing,search engine,5919,50,urban,55+,Asia-Pacific,desktop,iOS,Safari,398476,0.842193549,Yes,118.38,664126.6667,0.9,0.9,0.7
135,100+,e-commerce,search engine,42772,76,rural,18-34,Europe,mobile,iOS,Safari,292308,0.723055831,Yes,562.7894737,417582.8571,0.8,0.9,0.7
136,<=50,e-commerce,email,25954,34,urban,35-54,Africa,desktop,Android,Firefox,220696,0.656134947,Yes,763.3529412,275870,0.9,0.8,0.8
137,<=50,e-commerce,influencer,25837,29,suburban,18-34,North America,desktop,Windows,Chrome,15009,0.970609295,Yes,890.9310345,16676.66667,0.9,0.7,0.9
138,51-100,technology,social media,14958,18,urban,18-34,Asia-Pacific,desktop,Android,Firefox,5696,0.56544959,No,831,4746.666667,0.9,0.8,0.8
139,<=50,retail,email,10575,30,urban,18-34,South America,tablet,iOS,Chrome,26038,0.733017432,Yes,352.5,21698.33333,0.7,0.9,0.9
140,100+,retail,influencer,12945,57,urban,35-54,Europe,tablet,Windows,Chrome,23009,0.84966963,Yes,227.1052632,28761.25,0.7,0.7,0.9
141,100+,e-commerce,content marketing,15863,28,urban,35-54,Africa,mobile,iOS,Safari,473595,0.045977541,Yes,566.5357143,591993.75,0.8,0.9,0.7
142,<=50,manufacturing,influencer,20857,68,urban,35-54,Europe,desktop,Android,Chrome,395322,0.996307939,Yes,306.7205882,494152.5,0.9,0.8,0.9
143,<=50,finance,content marketing,37309,32,urban,18-34,Asia-Pacific,desktop,Android,Chrome,96692,0.262174332,Yes,1165.90625,80576.66667,0.9,0.8,0.9
144,<=50,manufacturing,content marketing,27954,64,urban,35-54,North America,desktop,Android,Firefox,28780,0.702516786,Yes,436.78125,35975,0.9,0.8,0.8
145,<=50,technology,search engine,38368,77,suburban,18-34,North America,mobile,iOS,Chrome,395362,0.953616228,Yes,498.2857143,439291.1111,0.8,0.9,0.9
146,<=50,finance,social media,32742,21,suburban,18-34,Asia-Pacific,mobile,Windows,Chrome,114208,0.763136841,Yes,1559.142857,126897.7778,0.8,0.7,0.9
147,51-100,finance,influencer,17134,74,urban,18-34,South America,desktop,Windows,Chrome,379416,0.229617297,Yes,231.5405405,316180,0.9,0.7,0.9
148,<=50,retail,social media,16580,12,rural,18-34,Europe,desktop,Android,Chrome,228084,0.362313888,Yes,1381.666667,325834.2857,0.9,0.8,0.9
149,<=50,finance,content marketing,25966,8,urban,18-34,South America,desktop,Windows,Safari,490660,0.414179008,Yes,3245.75,490660,0.9,0.7,0.7
150,<=50,manufacturing,search engine,21037,37,urban,18-34,Africa,mobile,iOS,Chrome,90059,0.586347494,Yes,568.5675676,90059,0.8,0.9,0.9
151,100+,finance,social media,7786,30,urban,18-34,South America,desktop,Windows,Chrome,236630,0.602947727,Yes,259.5333333,236630,0.9,0.7,0.9
152,<=50,services,email,24079,41,suburban,18-34,Asia-Pacific,desktop,iOS,Safari,497644,0.787900733,Yes,587.2926829,552937.7778,0.9,0.9,0.7
153,<=50,services,content marketing,20231,53,urban,55+,North America,tablet,Android,Chrome,18251,0.859673213,Yes,381.7169811,30418.33333,0.7,0.8,0.9
154,<=50,e-commerce,email,16840,37,urban,18-34,Asia-Pacific,desktop,Android,Safari,316969,0.08953769,Yes,455.1351351,316969,0.9,0.8,0.7
155,100+,finance,social media,7052,78,urban,55+,Asia-Pacific,tablet,Android,Firefox,412018,0.273156647,Yes,90.41025641,686696.6667,0.7,0.8,0.8
156,<=50,manufacturing,social media,38399,82,urban,18-34,Europe,desktop,Windows,Chrome,389842,0.343662192,No,468.2804878,324868.3333,0.9,0.7,0.9
157,51-100,services,social media,8442,8,suburban,18-34,Asia-Pacific,tablet,iOS,Safari,72041,0.01336467,Yes,1055.25,80045.55556,0.7,0.9,0.7
158,51-100,services,influencer,6754,85,rural,18-34,Africa,tablet,Android,Firefox,78296,0.417584555,Yes,79.45882353,111851.4286,0.7,0.8,0.8
159,<=50,finance,content marketing,48993,65,urban,18-34,Europe,mobile,iOS,Chrome,352850,0.358798655,Yes,753.7384615,352850,0.8,0.9,0.9
160,51-100,finance,content marketing,14770,69,suburban,18-34,Europe,desktop,Android,Firefox,357365,0.52539017,Yes,214.057971,397072.2222,0.9,0.8,0.8
161,<=50,retail,content marketing,18499,81,urban,18-34,South America,desktop,iOS,Chrome,15833,0.100181491,Yes,228.382716,13194.16667,0.9,0.9,0.9
162,51-100,technology,influencer,5025,23,suburban,18-34,Asia-Pacific,desktop,Android,Safari,204859,0.41399278,Yes,218.4782609,227621.1111,0.9,0.8,0.7
163,51-100,manufacturing,social media,29330,60,urban,35-54,South America,tablet,iOS,Safari,255561,0.597415963,Yes,488.8333333,319451.25,0.7,0.9,0.7
164,<=50,manufacturing,social media,15401,27,urban,18-34,South America,mobile,iOS,Safari,224090,0.80381527,Yes,570.4074074,224090,0.8,0.9,0.7
165,<=50,finance,email,45065,28,suburban,18-34,Europe,tablet,iOS,Safari,363221,0.766452435,Yes,1609.464286,403578.8889,0.7,0.9,0.7
166,100+,e-commerce,influencer,11553,61,rural,18-34,South America,tablet,Windows,Safari,495829,0.40485657,No,189.3934426,708327.1429,0.7,0.7,0.7
167,<=50,manufacturing,search engine,10759,35,suburban,18-34,South America,tablet,Android,Chrome,345409,0.38953258,Yes,307.4,383787.7778,0.7,0.8,0.9
168,<=50,services,influencer,12755,85,suburban,18-34,Europe,desktop,iOS,Safari,402230,0.037472049,Yes,150.0588235,446922.2222,0.9,0.9,0.7
169,<=50,manufacturing,email,18384,27,urban,18-34,Europe,tablet,Windows,Chrome,191133,0.082644628,Yes,680.8888889,159277.5,0.7,0.7,0.9
170,<=50,manufacturing,email,34928,8,urban,18-34,North America,tablet,Windows,Chrome,420287,0.872406435,Yes,4366,420287,0.7,0.7,0.9
171,51-100,retail,email,32478,48,rural,18-34,Asia-Pacific,mobile,Windows,Chrome,192634,0.805875047,No,676.625,275191.4286,0.8,0.7,0.9
172,<=50,e-commerce,social media,38897,58,urban,18-34,North America,desktop,iOS,Chrome,246331,0.021087186,Yes,670.637931,246331,0.9,0.9,0.9
173,<=50,retail,search engine,42764,44,urban,35-54,Europe,mobile,iOS,Chrome,208983,0.882678562,Yes,971.9090909,261228.75,0.8,0.9,0.9
174,<=50,services,email,37374,9,urban,35-54,Africa,desktop,Windows,Chrome,415870,0.613879261,Yes,4152.666667,519837.5,0.9,0.7,0.9
175,51-100,services,content marketing,25529,31,suburban,18-34,South America,mobile,Android,Safari,337501,0.80191912,Yes,823.516129,375001.1111,0.8,0.8,0.7
176,<=50,e-commerce,social media,43409,83,urban,18-34,South America,desktop,iOS,Safari,251824,0.502526723,Yes,523,251824,0.9,0.9,0.7
177,51-100,finance,search engine,37368,68,urban,18-34,Europe,desktop,iOS,Safari,262830,0.150626379,Yes,549.5294118,262830,0.9,0.9,0.7
178,<=50,manufacturing,content marketing,19371,21,suburban,18-34,South America,tablet,Android,Chrome,139233,0.356890501,Yes,922.4285714,154703.3333,0.7,0.8,0.9
